MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEP_DELAY,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,4,1/4/20,"Charlotte, NC",NC,North Carolina,"Oklahoma City, OK",OK,Oklahoma,60,60,0,,3,0,0,0,35
2,27,2/27/20,"Nashville, TN",TN,Tennessee,"Tampa, FL",FL,Florida,36,36,0,,3,0,0,0,28
2,27,2/27/20,"Baltimore, MD",MD,Maryland,"Hartford, CT",CT,Connecticut,25,25,0,,3,0,0,0,16
2,27,2/27/20,"Cleveland, OH",OH,Ohio,"Chicago, IL",IL,Illinois,26,26,0,,3,0,1,0,23
2,27,2/27/20,"Dallas, TX",TX,Texas,"Kansas City, MO",MO,Missouri,113,113,0,,3,0,0,0,103
2,6,2/6/20,"Rochester, MN",MN,Minnesota,"Atlanta, GA",GA,Georgia,110,110,0,,3,0,6,0,107
2,20,2/20/20,"Chicago, IL",IL,Illinois,"New York, NY",NY,New York,54,54,0,,3,0,0,0,35
2,11,2/11/20,"Atlanta, GA",GA,Georgia,"Montgomery, AL",AL,Alabama,66,66,0,,3,0,0,0,62
2,18,2/18/20,"St. Louis, MO",MO,Missouri,"Minneapolis, MN",MN,Minnesota,55,55,0,,3,0,0,0,43
2,9,2/9/20,"Detroit, MI",MI,Michigan,"Newark, NJ",NJ,New Jersey,60,60,0,,3,0,16,0,57
2,27,2/27/20,"Detroit, MI",MI,Michigan,"Newark, NJ",NJ,New Jersey,74,74,0,,3,0,53,0,3
2,14,2/14/20,"New York, NY",NY,New York,"St. Louis, MO",MO,Missouri,15,15,0,,3,0,2,0,12
2,24,2/24/20,"Indianapolis, IN",IN,Indiana,"New York, NY",NY,New York,61,61,0,,3,0,0,0,36
2,24,2/24/20,"Gainesville, FL",FL,Florida,"Atlanta, GA",GA,Georgia,46,46,0,,3,0,0,0,41
2,7,2/7/20,"Austin, TX",TX,Texas,"Raleigh/Durham, NC",NC,North Carolina,52,52,0,,3,0,0,0,43
2,10,2/10/20,"Austin, TX",TX,Texas,"Raleigh/Durham, NC",NC,North Carolina,9,9,0,,3,0,12,0,6
2,13,2/13/20,"Washington, DC",VA,Virginia,"New York, NY",NY,New York,17,17,0,,3,0,0,0,13
2,8,2/8/20,"New York, NY",NY,New York,"Portland, ME",ME,Maine,29,29,0,,3,0,0,0,15
2,13,2/13/20,"Baton Rouge, LA",LA,Louisiana,"Atlanta, GA",GA,Georgia,40,40,0,,3,0,0,0,23
2,13,2/13/20,"New York, NY",NY,New York,"Cincinnati, OH",KY,Kentucky,15,15,0,,3,0,4,0,12
2,6,2/6/20,"New York, NY",NY,New York,"Raleigh/Durham, NC",NC,North Carolina,112,112,0,,3,0,0,0,104
2,6,2/6/20,"Baltimore, MD",MD,Maryland,"New York, NY",NY,New York,92,92,0,,3,0,0,0,56
2,10,2/10/20,"New York, NY",NY,New York,"Madison, WI",WI,Wisconsin,256,256,0,,3,0,0,0,238
2,7,2/7/20,"Washington, DC",VA,Virginia,"Cincinnati, OH",KY,Kentucky,50,50,0,,3,0,0,0,25
2,7,2/7/20,"Chattanooga, TN",TN,Tennessee,"Atlanta, GA",GA,Georgia,42,42,0,,3,0,0,0,22
2,14,2/14/20,"New York, NY",NY,New York,"Norfolk, VA",VA,Virginia,55,55,0,,3,0,0,0,29
1,19,1/19/20,"Cedar Rapids/Iowa City, IA",IA,Iowa,"Chicago, IL",IL,Illinois,29,29,0,,3,0,69,0,26
1,3,1/3/20,"Dallas/Fort Worth, TX",TX,Texas,"Lawton/Fort Sill, OK",OK,Oklahoma,12,12,0,,3,0,4,0,9
1,13,1/13/20,"Dallas/Fort Worth, TX",TX,Texas,"Colorado Springs, CO",CO,Colorado,25,25,0,,3,0,12,0,22
1,2,1/2/20,"Lexington, KY",KY,Kentucky,"Dallas/Fort Worth, TX",TX,Texas,5,5,0,,3,0,16,0,2
1,31,1/31/20,"Des Moines, IA",IA,Iowa,"Chicago, IL",IL,Illinois,55,55,0,,3,0,2,0,52
1,24,1/24/20,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,88,88,0,,3,0,3,0,85
1,16,1/16/20,"Charlotte, NC",NC,North Carolina,"Flint, MI",MI,Michigan,66,66,0,,3,0,0,0,53
1,8,1/8/20,"Baton Rouge, LA",LA,Louisiana,"Dallas/Fort Worth, TX",TX,Texas,37,37,0,,3,0,0,0,25
1,2,1/2/20,"Miami, FL",FL,Florida,"Jacksonville, FL",FL,Florida,32,32,0,,3,0,0,0,18
1,22,1/22/20,"Baton Rouge, LA",LA,Louisiana,"Dallas/Fort Worth, TX",TX,Texas,33,33,0,,3,0,10,0,30
1,3,1/3/20,"Monroe, LA",LA,Louisiana,"Dallas/Fort Worth, TX",TX,Texas,84,84,0,,3,0,0,0,76
1,3,1/3/20,"Kapalua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,26,26,0,,3,30,0,0,23
1,4,1/4/20,"Hoolehua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,151,151,0,,3,0,0,0,145
1,28,1/28/20,"Hoolehua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,8,8,0,,3,0,7,0,5
1,3,1/3/20,"Hoolehua, HI",HI,Hawaii,"Honolulu, HI",HI,Hawaii,83,83,0,,3,0,0,0,78
1,3,1/3/20,"Cincinnati, OH",KY,Kentucky,"Charlotte, NC",NC,North Carolina,35,35,0,,3,0,10,0,32
1,31,1/31/20,"Asheville, NC",NC,North Carolina,"Charlotte, NC",NC,North Carolina,7,7,0,,3,0,17,0,4
1,28,1/28/20,"Dayton, OH",OH,Ohio,"Washington, DC",VA,Virginia,15,15,0,,3,0,19,0,12
1,6,1/6/20,"Washington, DC",VA,Virginia,"Manchester, NH",NH,New Hampshire,3,3,0,,3,0,32,0,0
1,24,1/24/20,"Sarasota/Bradenton, FL",FL,Florida,"Charlotte, NC",NC,North Carolina,35,35,0,,3,0,9,0,32
1,9,1/9/20,"Charlotte, NC",NC,North Carolina,"Fayetteville, NC",NC,North Carolina,25,25,0,,4,0,0,0,16
1,5,1/5/20,"St. Louis, MO",MO,Missouri,"Charlotte, NC",NC,North Carolina,28,28,0,,4,0,0,0,14
1,18,1/18/20,"Charlotte, NC",NC,North Carolina,"Pittsburgh, PA",PA,Pennsylvania,4,4,0,,4,0,15,0,0
1,3,1/3/20,"Washington, DC",VA,Virginia,"Tallahassee, FL",FL,Florida,12,12,0,,4,0,5,0,8
1,10,1/10/20,"Cincinnati, OH",KY,Kentucky,"Philadelphia, PA",PA,Pennsylvania,40,40,0,,4,0,0,0,18
1,18,1/18/20,"Milwaukee, WI",WI,Wisconsin,"Charlotte, NC",NC,North Carolina,40,40,0,,4,0,70,0,36
1,22,1/22/20,"Charlottesville, VA",VA,Virginia,"Charlotte, NC",NC,North Carolina,40,40,0,,4,0,0,0,15
1,6,1/6/20,"Charlotte, NC",NC,North Carolina,"Jacksonville, FL",FL,Florida,13,13,0,,4,0,21,0,9
1,3,1/3/20,"Fayetteville, NC",NC,North Carolina,"Charlotte, NC",NC,North Carolina,54,54,0,,4,0,0,0,50
1,1,1/1/20,"San Diego, CA",CA,California,"Seattle, WA",WA,Washington,12,12,0,,4,0,22,0,8
1,1,1/1/20,"Seattle, WA",WA,Washington,"Anchorage, AK",AK,Alaska,99,99,0,,4,0,4,0,95
1,2,1/2/20,"Boston, MA",MA,Massachusetts,"San Francisco, CA",CA,California,71,71,0,,4,0,0,0,51
1,4,1/4/20,"Kodiak, AK",AK,Alaska,"Anchorage, AK",AK,Alaska,19,19,0,,4,0,11,0,15
1,4,1/4/20,"Pittsburgh, PA",PA,Pennsylvania,"Seattle, WA",WA,Washington,24,24,0,,4,0,0,0,18
1,4,1/4/20,"Seattle, WA",WA,Washington,"San Francisco, CA",CA,California,92,92,0,,4,0,0,0,72
1,5,1/5/20,"Seattle, WA",WA,Washington,"New York, NY",NY,New York,115,115,0,,4,0,0,0,74
1,5,1/5/20,"Deadhorse, AK",AK,Alaska,"Barrow, AK",AK,Alaska,12,12,0,,4,0,6,0,8
1,5,1/5/20,"San Jose, CA",CA,California,"Seattle, WA",WA,Washington,51,51,0,,4,0,9,0,47
1,6,1/6/20,"Sitka, AK",AK,Alaska,"Ketchikan, AK",AK,Alaska,48,48,0,,4,0,0,0,43
1,6,1/6/20,"Seattle, WA",WA,Washington,"Los Angeles, CA",CA,California,21,21,0,,4,0,0,0,11
1,10,1/10/20,"Kona, HI",HI,Hawaii,"Seattle, WA",WA,Washington,38,38,0,,4,0,0,0,29
1,4,1/4/20,"Dallas/Fort Worth, TX",TX,Texas,"Jacksonville, FL",FL,Florida,25,25,0,,4,0,0,0,11
2,6,2/6/20,"Key West, FL",FL,Florida,"Atlanta, GA",GA,Georgia,148,148,0,,4,0,0,0,133
2,6,2/6/20,"Jackson/Vicksburg, MS",MS,Mississippi,"Atlanta, GA",GA,Georgia,93,93,0,,4,0,14,0,87
2,6,2/6/20,"Houston, TX",TX,Texas,"New York, NY",NY,New York,57,57,0,,4,0,0,0,39
